date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:05:01	58790/58790	---MCZ	200	added ('OK')	text/html	etag:W/%22e5a6-5d5da426c23ff%22	https://wpocean.com/html/tf/loveme/index-2.html	C:/My%20Web%20Sites/https___wpocean.com_html_tf_loveme_index-2.html/wpocean.com/html/tf/loveme/index-2.html	(from )
13:05:01	111/111	---MCZ	200	added ('OK')	text/plain	date:Fri,%2022%20Jul%202022%2007:35:52%20GMT	https://wpocean.com/robots.txt		(from )
13:05:10	2402/2402	---M--	200	added ('OK')	image/png	etag:%22962-5d5da426b35b1%22	https://wpocean.com/html/tf/loveme/assets/images/favicon.png	C:/My%20Web%20Sites/https___wpocean.com_html_tf_loveme_index-2.html/wpocean.com/html/tf/loveme/assets/images/favicon.png	(from https://wpocean.com/html/tf/loveme/index-2.html)
13:05:10	16450/16450	---MCZ	200	added ('OK')	text/css	etag:W/%224042-5d5da426b687b%22	https://wpocean.com/html/tf/loveme/assets/css/themify-icons.css	C:/My%20Web%20Sites/https___wpocean.com_html_tf_loveme_index-2.html/wpocean.com/html/tf/loveme/assets/css/themify-icons.css	(from https://wpocean.com/html/tf/loveme/index-2.html)
13:05:10	29062/29062	---MCZ	200	added ('OK')	text/css	etag:W/%227186-5d5da426b6c63%22	https://wpocean.com/html/tf/loveme/assets/css/font-awesome.min.css	C:/My%20Web%20Sites/https___wpocean.com_html_tf_loveme_index-2.html/wpocean.com/html/tf/loveme/assets/css/font-awesome.min.css	(from https://wpocean.com/html/tf/loveme/index-2.html)
13:05:11	2604/2604	---MCZ	200	added ('OK')	text/css	etag:W/%22a2c-5d5da426b687b%22	https://wpocean.com/html/tf/loveme/assets/css/flaticon.css	C:/My%20Web%20Sites/https___wpocean.com_html_tf_loveme_index-2.html/wpocean.com/html/tf/loveme/assets/css/flaticon.css	(from https://wpocean.com/html/tf/loveme/index-2.html)
13:05:11	155631/155631	---MCZ	200	added ('OK')	text/css	etag:W/%2225fef-5d5da426b60aa%22	https://wpocean.com/html/tf/loveme/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/https___wpocean.com_html_tf_loveme_index-2.html/wpocean.com/html/tf/loveme/assets/css/bootstrap.min.css	(from https://wpocean.com/html/tf/loveme/index-2.html)
13:05:11	76783/76783	---MCZ	200	added ('OK')	text/css	etag:W/%2212bef-5d5da426b60aa%22	https://wpocean.com/html/tf/loveme/assets/css/animate.css	C:/My%20Web%20Sites/https___wpocean.com_html_tf_loveme_index-2.html/wpocean.com/html/tf/loveme/assets/css/animate.css	(from https://wpocean.com/html/tf/loveme/index-2.html)
13:05:11	4614/4614	---MCZ	200	added ('OK')	text/css	etag:W/%221206-5d5da426b687b%22	https://wpocean.com/html/tf/loveme/assets/css/owl.carousel.css	C:/My%20Web%20Sites/https___wpocean.com_html_tf_loveme_index-2.html/wpocean.com/html/tf/loveme/assets/css/owl.carousel.css	(from https://wpocean.com/html/tf/loveme/index-2.html)
13:05:11	1055/1055	---MCZ	200	added ('OK')	text/css	etag:W/%2241f-5d5da426b687b%22	https://wpocean.com/html/tf/loveme/assets/css/owl.theme.css	C:/My%20Web%20Sites/https___wpocean.com_html_tf_loveme_index-2.html/wpocean.com/html/tf/loveme/assets/css/owl.theme.css	(from https://wpocean.com/html/tf/loveme/index-2.html)
13:05:12	1729/1729	---MCZ	200	added ('OK')	text/css	etag:W/%226c1-5d5da426b687b%22	https://wpocean.com/html/tf/loveme/assets/css/slick.css	C:/My%20Web%20Sites/https___wpocean.com_html_tf_loveme_index-2.html/wpocean.com/html/tf/loveme/assets/css/slick.css	(from https://wpocean.com/html/tf/loveme/index-2.html)
13:05:12	3158/3158	---MCZ	200	added ('OK')	text/css	etag:W/%22c56-5d5da426b687b%22	https://wpocean.com/html/tf/loveme/assets/css/slick-theme.css	C:/My%20Web%20Sites/https___wpocean.com_html_tf_loveme_index-2.html/wpocean.com/html/tf/loveme/assets/css/slick-theme.css	(from https://wpocean.com/html/tf/loveme/index-2.html)
13:05:12	19004/19004	---MCZ	200	added ('OK')	text/css	etag:W/%224a3c-5d5da426b60aa%22	https://wpocean.com/html/tf/loveme/assets/css/swiper.min.css	C:/My%20Web%20Sites/https___wpocean.com_html_tf_loveme_index-2.html/wpocean.com/html/tf/loveme/assets/css/swiper.min.css	(from https://wpocean.com/html/tf/loveme/index-2.html)
13:05:12	4007/4007	---MCZ	200	added ('OK')	text/css	etag:W/%22fa7-5d5da426b6492%22	https://wpocean.com/html/tf/loveme/assets/css/nice-select.css	C:/My%20Web%20Sites/https___wpocean.com_html_tf_loveme_index-2.html/wpocean.com/html/tf/loveme/assets/css/nice-select.css	(from https://wpocean.com/html/tf/loveme/index-2.html)
13:05:13	4638/4638	---MCZ	200	added ('OK')	text/css	etag:W/%22121e-5d5da426b687b%22	https://wpocean.com/html/tf/loveme/assets/css/owl.transitions.css	C:/My%20Web%20Sites/https___wpocean.com_html_tf_loveme_index-2.html/wpocean.com/html/tf/loveme/assets/css/owl.transitions.css	(from https://wpocean.com/html/tf/loveme/index-2.html)
13:05:13	5053/5053	---MCZ	200	added ('OK')	text/css	etag:W/%2213bd-5d5da426b5cc2%22	https://wpocean.com/html/tf/loveme/assets/css/jquery.fancybox.css	C:/My%20Web%20Sites/https___wpocean.com_html_tf_loveme_index-2.html/wpocean.com/html/tf/loveme/assets/css/jquery.fancybox.css	(from https://wpocean.com/html/tf/loveme/index-2.html)
13:05:13	3652/3652	---MCZ	200	added ('OK')	text/css	etag:W/%22e44-5d5da426b6c63%22	https://wpocean.com/html/tf/loveme/assets/css/odometer-theme-default.css	C:/My%20Web%20Sites/https___wpocean.com_html_tf_loveme_index-2.html/wpocean.com/html/tf/loveme/assets/css/odometer-theme-default.css	(from https://wpocean.com/html/tf/loveme/index-2.html)
13:05:14	481839/481839	---MCZ	200	added ('OK')	text/css	etag:W/%2275a2f-5d5da426b6492%22	https://wpocean.com/html/tf/loveme/assets/css/style.css	C:/My%20Web%20Sites/https___wpocean.com_html_tf_loveme_index-2.html/wpocean.com/html/tf/loveme/assets/css/style.css	(from https://wpocean.com/html/tf/loveme/index-2.html)
13:05:14	71826/71826	---MCZ	200	added ('OK')	text/html	etag:W/%2211892-5d5da426c2fb8%22	https://wpocean.com/html/tf/loveme/index.html	C:/My%20Web%20Sites/https___wpocean.com_html_tf_loveme_index-2.html/wpocean.com/html/tf/loveme/index.html	(from https://wpocean.com/html/tf/loveme/index-2.html)
13:05:14	6520/6520	---M--	200	added ('OK')	image/png	etag:%221978-5d5da426b31c9%22	https://wpocean.com/html/tf/loveme/assets/images/logo.png	C:/My%20Web%20Sites/https___wpocean.com_html_tf_loveme_index-2.html/wpocean.com/html/tf/loveme/assets/images/logo.png	(from https://wpocean.com/html/tf/loveme/index-2.html)
13:05:14	56733/56733	---MCZ	200	added ('OK')	text/html	etag:W/%22dd9d-5d5da426c27e7%22	https://wpocean.com/html/tf/loveme/index-3.html	C:/My%20Web%20Sites/https___wpocean.com_html_tf_loveme_index-2.html/wpocean.com/html/tf/loveme/index-3.html	(from https://wpocean.com/html/tf/loveme/index-2.html)
13:05:14	56092/56092	---MCZ	200	added ('OK')	text/html	etag:W/%22db1c-5d5da426c27e7%22	https://wpocean.com/html/tf/loveme/index-4.html	C:/My%20Web%20Sites/https___wpocean.com_html_tf_loveme_index-2.html/wpocean.com/html/tf/loveme/index-4.html	(from https://wpocean.com/html/tf/loveme/index-2.html)
13:05:15	53275/53275	---MCZ	200	added ('OK')	text/html	etag:W/%22d01b-5d5da426c2bcf%22	https://wpocean.com/html/tf/loveme/index-5.html	C:/My%20Web%20Sites/https___wpocean.com_html_tf_loveme_index-2.html/wpocean.com/html/tf/loveme/index-5.html	(from https://wpocean.com/html/tf/loveme/index-2.html)
13:05:15	43528/43528	---MCZ	200	added ('OK')	text/html	etag:W/%22aa08-5d5da426c2fb8%22	https://wpocean.com/html/tf/loveme/index-7.html	C:/My%20Web%20Sites/https___wpocean.com_html_tf_loveme_index-2.html/wpocean.com/html/tf/loveme/index-7.html	(from https://wpocean.com/html/tf/loveme/index-2.html)
13:05:15	19337/19337	---MCZ	200	added ('OK')	text/html	etag:W/%224b89-5d5da426c2bcf%22	https://wpocean.com/html/tf/loveme/index-6.html	C:/My%20Web%20Sites/https___wpocean.com_html_tf_loveme_index-2.html/wpocean.com/html/tf/loveme/index-6.html	(from https://wpocean.com/html/tf/loveme/index-2.html)
13:05:15	47611/47611	---MCZ	200	added ('OK')	text/html	etag:W/%22b9fb-5d5da426c04bf%22	https://wpocean.com/html/tf/loveme/about.html	C:/My%20Web%20Sites/https___wpocean.com_html_tf_loveme_index-2.html/wpocean.com/html/tf/loveme/about.html	(from https://wpocean.com/html/tf/loveme/index-2.html)
